,Experiment_ID,Genome,antibody,antibody used,antibody name,antibody target,chromatin ip antibody,cell antibody,chip antibody target,chip antibody,chip_antibody,ip antibody
11300,srx128777,hg19,tal1,nan,nan,nan,nan,nan,nan,tal1,nan,nan
11301,srx128778,hg19,tal1,nan,nan,nan,nan,nan,nan,tal1,nan,nan
11304,srx128781,hg19,gata3,nan,nan,nan,nan,nan,nan,gata3,nan,nan
11305,srx128782,hg19,runx1,nan,nan,nan,nan,nan,nan,runx1,nan,nan
11306,srx128783,hg19,runx1,nan,nan,nan,nan,nan,nan,runx1,nan,nan
11313,srx128784,hg19,runx1,nan,nan,nan,nan,nan,nan,runx1,nan,nan
11330,srx129070,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11331,srx129071,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11332,srx129072,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11333,srx129073,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11334,srx129074,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11335,srx129075,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11336,srx129076,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11337,srx129077,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11338,srx129078,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11339,srx129079,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11340,srx129080,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11341,srx129081,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11342,srx129082,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11343,srx129083,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11344,srx129084,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11345,srx129085,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11351,srx129091,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11352,srx129092,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11353,srx129093,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11366,srx129106,hg19,cmyc,nan,nan,nan,nan,nan,nan,cmyc,nan,nan
11367,srx129107,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11370,srx129110,hg19,cmyc,nan,nan,nan,nan,nan,nan,cmyc,nan,nan
11371,srx129111,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
11379,srx1293070,hg19,fus,nan,nan,nan,nan,nan,nan,nan,nan,nan
11380,srx1293071,hg19,ews,nan,nan,nan,nan,nan,nan,nan,nan,nan
11381,srx1293072,hg19,taf15,nan,nan,nan,nan,nan,nan,nan,nan,nan
11382,srx1293073,hg19,h3k9,nan,nan,nan,nan,nan,nan,nan,nan,nan
11397,srx1295714,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11398,srx1295715,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11400,srx1295717,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11401,srx1295718,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11403,srx1295720,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11404,srx1295721,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11406,srx1295723,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11407,srx1295724,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
11408,srx1295725,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11409,srx1295726,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11410,srx1295727,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11411,srx1295728,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11412,srx1295729,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11413,srx1295730,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11414,srx1295731,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11415,srx1295732,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
11437,srx130060,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
11438,srx130061,hg19,sox2,nan,nan,nan,nan,nan,nan,sox2,nan,nan
11439,srx130062,hg19,klf4,nan,nan,nan,nan,nan,nan,klf4,nan,nan
11442,srx130086,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
11444,srx130088,hg19,smad3,nan,nan,nan,nan,nan,nan,smad3,nan,nan
11445,srx130089,hg19,smad3,nan,nan,nan,nan,nan,nan,smad3,nan,nan
11446,srx130092,hg19,smc1,nan,nan,nan,nan,nan,nan,smc1,nan,nan
11449,srx130095,hg19,setdb1,nan,nan,nan,nan,nan,nan,setdb1,nan,nan
11451,srx130108,hg19,ctbp,nan,nan,nan,nan,nan,nan,ctbp,nan,nan
11476,srx130252,hg19,h3,nan,nan,nan,nan,nan,nan,h3,nan,nan
11477,srx130253,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11478,srx130254,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
11479,srx130255,hg19,lamin b1,nan,nan,nan,nan,nan,nan,lamin b1,nan,nan
11480,srx130256,hg19,h3,nan,nan,nan,nan,nan,nan,h3,nan,nan
11481,srx130257,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11482,srx130258,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
11483,srx130264,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11488,srx130269,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11489,srx130270,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
11518,srx130495,hg19,hp1 gamma,nan,nan,nan,nan,nan,nan,hp1 gamma,nan,nan
11519,srx130496,hg19,hp1 gamma,nan,nan,nan,nan,nan,nan,hp1 gamma,nan,nan
11522,srx130603,hg19,p300,nan,nan,nan,nan,nan,nan,p300,nan,nan
11523,srx130604,hg19,ncor,nan,nan,nan,nan,nan,nan,ncor,nan,nan
11525,srx130606,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11526,srx130607,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
11527,srx130608,hg19,bcl6,nan,nan,nan,nan,nan,nan,bcl6,nan,nan
11528,srx130609,hg19,bcor,nan,nan,nan,nan,nan,nan,bcor,nan,nan
11529,srx130610,hg19,smrt,nan,nan,nan,nan,nan,nan,smrt,nan,nan
11540,srx1318622,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11541,srx1318623,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11550,srx1322297,hg19,ebna1,nan,nan,nan,nan,nan,nan,ebna1,nan,nan
11551,srx1322298,hg19,ebna1,nan,nan,nan,nan,nan,nan,ebna1,nan,nan
11552,srx1322299,hg19,ebna1,nan,nan,nan,nan,nan,nan,ebna1,nan,nan
11553,srx1322300,hg19,ebna1,nan,nan,nan,nan,nan,nan,ebna1,nan,nan
11554,srx1322301,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
11555,srx1322302,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
11556,srx1322303,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
11557,srx1322304,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
11682,srx1353401,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
11683,srx1353402,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
11684,srx1353403,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
11685,srx1353404,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
11690,srx1360795,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11693,srx1360798,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11694,srx1360799,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11697,srx1360802,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11698,srx1360803,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11701,srx1360806,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11702,srx1360807,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11705,srx1360810,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11706,srx1360811,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11709,srx1360814,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11710,srx1360815,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11713,srx1360818,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11714,srx1360819,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11717,srx1360822,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11718,srx1360823,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11721,srx1360826,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
11723,srx1360828,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
12074,srx1384025,hg19,atf3,nan,nan,nan,nan,nan,nan,atf3,nan,nan
12075,srx1384026,hg19,atf3,nan,nan,nan,nan,nan,nan,atf3,nan,nan
12076,srx1384027,hg19,p53,nan,nan,nan,nan,nan,nan,p53,nan,nan
12077,srx1384028,hg19,p53,nan,nan,nan,nan,nan,nan,p53,nan,nan
12078,srx1384029,hg19,atf3,nan,nan,nan,nan,nan,nan,atf3,nan,nan
12120,srx1403227,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
12121,srx1403228,hg19,jmjd6,nan,nan,nan,nan,nan,nan,nan,nan,nan
12123,srx1403230,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
12124,srx1403231,hg19,jmjd6,nan,nan,nan,nan,nan,nan,nan,nan,nan
12166,srx1424692,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
12167,srx1424693,hg19,nanog igg,nan,nan,nan,nan,nan,nan,nanog igg,nan,nan
12168,srx1424694,hg19,nanog igg,nan,nan,nan,nan,nan,nan,nanog igg,nan,nan
12169,srx1424695,hg19,nanog igg,nan,nan,nan,nan,nan,nan,nanog igg,nan,nan
12170,srx1424696,hg19,nanog igg,nan,nan,nan,nan,nan,nan,nanog igg,nan,nan
12171,srx1424697,hg19,nanog igg,nan,nan,nan,nan,nan,nan,nanog igg,nan,nan
12209,srx1426071,hg19,h3k9me2 antibody,nan,nan,nan,nan,nan,nan,h3k9me2 antibody,nan,nan
12210,srx1426072,hg19,h3k9me3 antibody,nan,nan,nan,nan,nan,nan,h3k9me3 antibody,nan,nan
12214,srx1426076,hg19,h3k9me2 antibody,nan,nan,nan,nan,nan,nan,h3k9me2 antibody,nan,nan
12215,srx1426077,hg19,h3k9me3 antibody,nan,nan,nan,nan,nan,nan,h3k9me3 antibody,nan,nan
