,Experiment_ID,Genome,antibody,antibody used,antibody name,antibody target,chromatin ip antibody,cell antibody,chip antibody target,chip antibody,chip_antibody,ip antibody
4427,srx003182,hg19,oct1,nan,nan,nan,nan,nan,nan,oct1,nan,nan
4428,srx003313,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4429,srx003314,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4430,srx003315,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4431,srx003316,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4432,srx003317,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4433,srx003318,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4434,srx003319,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4435,srx003320,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4436,srx003321,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4437,srx003322,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4438,srx003323,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4439,srx003324,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4440,srx003325,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4441,srx003794,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
4442,srx003795,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4443,srx003796,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
4444,srx003797,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4445,srx003798,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
4446,srx003799,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4450,srx003842,hg19,ezh2,nan,nan,nan,nan,nan,nan,ezh2,nan,nan
4451,srx003843,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4452,srx003844,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
4453,srx003845,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4454,srx003846,hg19,ring1b,nan,nan,nan,nan,nan,nan,ring1b,nan,nan
4460,srx003937,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4461,srx003938,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4462,srx003939,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4463,srx003940,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4464,srx003941,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4465,srx003942,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4466,srx003943,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4467,srx003944,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4480,srx005144,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
4481,srx005145,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,h3k27me1,nan,nan
4482,srx005146,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4483,srx005147,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
4484,srx005148,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
4485,srx005149,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4486,srx005150,hg19,h3k9me1,nan,nan,nan,nan,nan,nan,h3k9me1,nan,nan
4487,srx005151,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
4488,srx005152,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,h4k20me1,nan,nan
4489,srx005153,hg19,polii,nan,nan,nan,nan,nan,nan,polii,nan,nan
4490,srx005154,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
4491,srx005155,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,h3k27me1,nan,nan
4492,srx005156,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4493,srx005157,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
4494,srx005158,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
4495,srx005159,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4496,srx005160,hg19,h3k9me1,nan,nan,nan,nan,nan,nan,h3k9me1,nan,nan
4497,srx005161,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
4498,srx005162,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,h4k20me1,nan,nan
4499,srx005163,hg19,polii,nan,nan,nan,nan,nan,nan,polii,nan,nan
4500,srx005383,hg19,chromatin ip against h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4501,srx005384,hg19,chromatin ip against h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4502,srx005385,hg19,chromatin ip against h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4503,srx005386,hg19,chromatin ip against h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4504,srx005387,hg19,chromatin ip against h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4505,srx005388,hg19,chromatin ip against h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4509,srx006757,hg19,genomic e25dna,nan,nan,nan,nan,nan,nan,nan,nan,nan
4525,srx007043,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
4526,srx007044,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4527,srx007045,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4528,srx007046,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4529,srx007047,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4530,srx007048,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4551,srx007141,hg19,anti h3k4me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
4552,srx007142,hg19,anti h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4559,srx011571,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
4560,srx011572,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
4561,srx011573,hg19,klf4,nan,nan,nan,nan,nan,nan,klf4,nan,nan
4562,srx011574,hg19,myc,nan,nan,nan,nan,nan,nan,myc,nan,nan
4563,srx011575,hg19,tafii,nan,nan,nan,nan,nan,nan,tafii,nan,nan
4564,srx011576,hg19,p300,nan,nan,nan,nan,nan,nan,p300,nan,nan
4565,srx011577,hg19,tafii,nan,nan,nan,nan,nan,nan,tafii,nan,nan
4566,srx011616,hg19,sox2,nan,nan,nan,nan,nan,nan,sox2,nan,nan
4567,srx011617,hg19,nanog,nan,nan,nan,nan,nan,nan,nanog,nan,nan
4568,srx011618,hg19,nanog,nan,nan,nan,nan,nan,nan,nanog,nan,nan
4573,srx012392,hg19,ab4174,nan,nan,nan,nan,nan,nan,nan,nan,nan
4574,srx012393,hg19,ab8895,nan,nan,nan,nan,nan,nan,nan,nan,nan
4575,srx012394,hg19,ab8580,nan,nan,nan,nan,nan,nan,nan,nan,nan
4576,srx012395,hg19,ab8896,nan,nan,nan,nan,nan,nan,nan,nan,nan
4579,srx012398,hg19,ab9050,nan,nan,nan,nan,nan,nan,nan,nan,nan
4580,srx012399,hg19,ab3594,nan,nan,nan,nan,nan,nan,nan,nan,nan
4581,srx012400,hg19,ab9051,nan,nan,nan,nan,nan,nan,nan,nan,nan
4582,srx012401,hg19,ab5408,nan,nan,nan,nan,nan,nan,nan,nan,nan
4598,srx013323,hg19,znf263,nan,nan,nan,nan,nan,nan,nan,nan,nan
4599,srx013324,hg19,znf263,nan,nan,nan,nan,nan,nan,nan,nan,nan
4617,srx014750,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4618,srx014751,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
4619,srx014752,hg19,rar,nan,nan,nan,nan,nan,nan,nan,nan,nan
4620,srx014753,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4621,srx014754,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
4622,srx014755,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4623,srx014756,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4624,srx014757,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4625,srx014758,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4626,srx014759,hg19,rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
4627,srx014760,hg19,rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
4628,srx014761,hg19,rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
4629,srx014762,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4630,srx014763,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4631,srx014764,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4632,srx014765,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4633,srx014766,hg19,methylcap gst mbd,nan,nan,nan,nan,nan,nan,nan,nan,nan
4634,srx014767,hg19,methylcap gst mbd,nan,nan,nan,nan,nan,nan,nan,nan,nan
4635,srx014768,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4636,srx014769,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
4637,srx014770,hg19,rar,nan,nan,nan,nan,nan,nan,nan,nan,nan
4638,srx014771,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4639,srx014772,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4640,srx014773,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4641,srx014774,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
4642,srx014775,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4643,srx014776,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4644,srx014777,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4645,srx014778,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4646,srx014779,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4647,srx014780,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4648,srx014781,hg19,rar,nan,nan,nan,nan,nan,nan,nan,nan,nan
4649,srx014782,hg19,rar,nan,nan,nan,nan,nan,nan,nan,nan,nan
4650,srx014783,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
4651,srx014784,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
4652,srx014785,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4653,srx014786,hg19,h3k9k14ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
4654,srx014787,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4655,srx014788,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4657,srx014810,hg19,gata1,nan,nan,nan,nan,nan,nan,gata1,nan,nan
4658,srx014811,hg19,gata2,nan,nan,nan,nan,nan,nan,gata2,nan,nan
4659,srx014812,hg19,input control,nan,nan,nan,nan,nan,nan,input control,nan,nan
4671,srx015825,hg19,ets1 sc355 from santa cruz biotechnology,nan,nan,nan,nan,nan,nan,nan,nan,nan
4672,srx015826,hg19,runx monoclonal from nancy speck,nan,nan,nan,nan,nan,nan,nan,nan,nan
4675,srx016028,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4676,srx016029,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4677,srx016030,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4678,srx016031,hg19,p130,nan,nan,nan,nan,nan,nan,p130,nan,nan
4679,srx016032,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4680,srx016033,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4681,srx016034,hg19,p130,nan,nan,nan,nan,nan,nan,p130,nan,nan
4682,srx016035,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4683,srx016036,hg19,p130,nan,nan,nan,nan,nan,nan,p130,nan,nan
4684,srx016037,hg19,prb,nan,nan,nan,nan,nan,nan,prb,nan,nan
4685,srx016038,hg19,p130,nan,nan,nan,nan,nan,nan,p130,nan,nan
4686,srx016039,hg19,mock,nan,nan,nan,nan,nan,nan,mock,nan,nan
4696,srx016559,hg19,snap45,nan,nan,nan,nan,nan,nan,nan,nan,nan
4697,srx016701,hg19,h3k4me3,nan,nan,h3k4me3,nan,nan,nan,nan,nan,nan
4698,srx016702,hg19,h3k4me3,nan,nan,h3k4me3,nan,nan,nan,nan,nan,nan
4703,srx016975,hg19,bl906 against p73,nan,nan,nan,nan,nan,nan,nan,nan,nan
4704,srx016976,hg19,bl906 against p73,nan,nan,nan,nan,nan,nan,nan,nan,nan
4705,srx016977,hg19,bl906 against p73,nan,nan,nan,nan,nan,nan,nan,nan,nan
4706,srx016978,hg19,bl906 against p73,nan,nan,nan,nan,nan,nan,nan,nan,nan
4707,srx016979,hg19,do1 against p53,nan,nan,nan,nan,nan,nan,nan,nan,nan
4708,srx016980,hg19,do1 against p53,nan,nan,nan,nan,nan,nan,nan,nan,nan
4745,srx017276,hg19,oct4,nan,nan,nan,nan,nan,nan,nan,nan,nan
4746,srx017277,hg19,nanog,nan,nan,nan,nan,nan,nan,nan,nan,nan
4747,srx017278,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
4819,srx017707,hg19,goat igg,nan,nan,nan,nan,nan,nan,nan,nan,nan
4820,srx017708,hg19,rabbit igg,nan,nan,nan,nan,nan,nan,nan,nan,nan
4821,srx017709,hg19,anti tip60 ab,nan,nan,nan,nan,nan,nan,nan,nan,nan
4845,srx017861,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4846,srx017862,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4852,srx017868,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4853,srx017869,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4857,srx017873,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4858,srx017874,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4864,srx017880,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4865,srx017881,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4869,srx017885,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4870,srx017886,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4876,srx017892,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4877,srx017893,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4882,srx017898,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4883,srx017899,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4887,srx017903,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4888,srx017904,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4893,srx017909,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4894,srx017910,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4898,srx017914,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4899,srx017915,hg19,normal rabbit igg,nan,nan,nan,nan,nan,nan,normal rabbit igg,nan,nan
4904,srx017942,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4905,srx017943,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4910,srx017948,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4911,srx017949,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4915,srx017953,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4916,srx017954,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4920,srx017958,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4921,srx017959,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4925,srx017963,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4926,srx017964,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4931,srx017969,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4932,srx017970,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4937,srx017975,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4938,srx017976,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4942,srx017980,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4943,srx017981,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4944,srx017982,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4952,srx017990,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4953,srx017991,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4960,srx017998,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4961,srx017999,hg19,normal mouse igg,nan,nan,nan,nan,nan,nan,normal mouse igg,nan,nan
4962,srx018277,hg19,cbp,nan,nan,nan,nan,nan,nan,nan,nan,nan
4963,srx018278,hg19,p300,nan,nan,nan,nan,nan,nan,nan,nan,nan
4964,srx018279,hg19,p300,nan,nan,nan,nan,nan,nan,nan,nan,nan
4965,srx018280,hg19,cbp,nan,nan,nan,nan,nan,nan,nan,nan,nan
4966,srx018281,hg19,cbp,nan,nan,nan,nan,nan,nan,nan,nan,nan
4967,srx018282,hg19,p300,nan,nan,nan,nan,nan,nan,nan,nan,nan
4978,srx018625,hg19,hnf4a f domain,nan,nan,nan,nan,nan,nan,hnf4a f domain,nan,nan
4979,srx018626,hg19,hnf4a ab domain,nan,nan,nan,nan,nan,nan,hnf4a ab domain,nan,nan
4980,srx018627,hg19,hnf4g,nan,nan,nan,nan,nan,nan,hnf4g,nan,nan
4981,srx018651,hg19,pfm2,nan,nan,nan,nan,nan,nan,nan,nan,nan
4984,srx018654,hg19,pfm2,nan,nan,nan,nan,nan,nan,nan,nan,nan
4985,srx018655,hg19,pfm2,nan,nan,nan,nan,nan,nan,nan,nan,nan
4987,srx018657,hg19,pfm2,nan,nan,nan,nan,nan,nan,nan,nan,nan
4988,srx018794,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4989,srx018795,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4990,srx018796,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4991,srx018797,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4992,srx018798,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4993,srx018799,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4994,srx018800,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4995,srx018801,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4996,srx018802,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4997,srx018803,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4998,srx018804,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4999,srx018805,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5011,srx018991,hg19,4a4 against p63,nan,nan,nan,nan,nan,nan,nan,nan,nan
5012,srx018992,hg19,4a4 against p63,nan,nan,nan,nan,nan,nan,nan,nan,nan
5018,srx019331,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5019,srx019332,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5020,srx019333,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5021,srx019334,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5022,srx019335,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5023,srx019336,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5024,srx019337,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5025,srx019338,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5026,srx019339,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5027,srx019340,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5028,srx019341,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5029,srx019342,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5030,srx019343,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5031,srx019344,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5103,srx019786,hg19,h129 against p63,nan,nan,nan,nan,nan,nan,nan,nan,nan
5125,srx019963,hg19,e2f4,nan,nan,nan,nan,nan,nan,nan,nan,nan
5127,srx020506,hg19,er beta,nan,nan,nan,nan,nan,nan,er beta,nan,nan
5128,srx020507,hg19,er beta,nan,nan,nan,nan,nan,nan,er beta,nan,nan
5129,srx020508,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
5130,srx020509,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
5162,srx021068,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
5163,srx021069,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
5164,srx021070,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
5165,srx021071,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
5197,srx022431,hg19,h3k4me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
5198,srx022432,hg19,e2f1,nan,nan,nan,nan,nan,nan,nan,nan,nan
5199,srx022433,hg19,phf8,nan,nan,nan,nan,nan,nan,nan,nan,nan
5200,srx022434,hg19,smc4,nan,nan,nan,nan,nan,nan,nan,nan,nan
5201,srx022435,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,nan,nan,nan
5234,srx023135,hg19,custom made prdm14,nan,nan,nan,nan,nan,nan,nan,nan,nan
5258,srx024357,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5262,srx024361,hg19,h3k79me2,nan,nan,nan,nan,nan,nan,h3k79me2,nan,nan
5265,srx026054,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5266,srx026055,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5267,srx026056,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5268,srx026057,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5269,srx026058,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5270,srx026059,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5271,srx026060,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5272,srx026061,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5273,srx026062,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5274,srx026063,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5275,srx026064,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5276,srx026065,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5277,srx026066,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5278,srx026067,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5279,srx026068,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
5280,srx026069,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5281,srx026070,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5282,srx026071,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5283,srx026072,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5284,srx026073,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5285,srx026074,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5286,srx026075,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5287,srx026076,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5288,srx026077,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5289,srx026078,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5290,srx026079,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5291,srx026080,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5292,srx026081,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5293,srx026082,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5294,srx026083,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
5303,srx026529,hg19,erα,nan,nan,nan,nan,nan,nan,nan,nan,nan
5304,srx026530,hg19,erα,nan,nan,nan,nan,nan,nan,nan,nan,nan
5305,srx026531,hg19,erα,nan,nan,nan,nan,nan,nan,nan,nan,nan
5306,srx026532,hg19,erα,nan,nan,nan,nan,nan,nan,nan,nan,nan
